Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARCADIS - CO2 Equivalents Emission Total,NL0006237562(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41304.5,33728.8,30732.9
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ARCANDOR (STU) - CO2 Equivalents Emission Total,DE0006275001(ENERDP023),NA,376446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARCELORMITTAL - CO2e Indirect Emissions Scope 3,LU1598757687(ENERDP096),NA,NA,NA,NA,13975000,13078000,13000000,15000000,13000000,14000000,13200000,14900000,13700000,9600000
ARCELORMITTAL - CO2 Equivalents Emission Total,LU1598757687(ENERDP023),NA,223000000,166116000,184825000,179930000,175448000,190000000,191000000,192000000,190000000,194800000,188800000,181900000,150800000
ARENDALS FOSSEKOMPANI - CO2e Indirect Emissions Scope 3,NO0003572802(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175
ARENDALS FOSSEKOMPANI - CO2 Equivalents Emission Total,NO0003572802(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137898
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ARION BANKI - CO2e Indirect Emissions Scope 3,IS0000028157(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.15
ARION BANKI - CO2 Equivalents Emission Total,IS0000028157(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.2
ARISE - CO2e Indirect Emissions Scope 3,SE0002095604(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6
ARISE - CO2 Equivalents Emission Total,SE0002095604(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120533
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ARJO B - CO2 Equivalents Emission Total,SE0010468116(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15880.93,15532.9,17698.7
