Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AMBU A/S - EMPLOYEES,DK0060946788(WC07011),DK,1397,1608,1728,1637,1683,2194,2341,2225,2450,2607,2795,3108,4187
AMG ADVANCED METAL - NET SALES OR REVENUES,NL0000888691(WC01001),E,1032961,621899,750359,966832,941812,871034,828446,885936,879880,930225,1112055,1063355,816837
AMG ADVANCED METAL - EMPLOYEES,NL0000888691(WC07011),E,1394,1812,2039,2189,3275,3093,2991,2941,2888,2982,3208,3245,3064
AMPLIFON SPA - NET SALES OR REVENUES,IT0004056880(WC01001),E,641439,657032,708096,827442,846611,828632,890931,1033977,1133097,1265994,1362234,1732063,1555543
AMPLIFON SPA - EMPLOYEES,IT0004056880(WC07011),E,3994,4129,4970,5005,5253,5193,5606,6333,7204,8132,10765,11003,11265
AMUNDI SA - NET SALES OR REVENUES,FR0004125920(WC01001),E,NA,NA,NA,NA,2416010,2417773,2642041,2813868,2710401,4056530,4762227,4786511,4568281
AMUNDI SA - EMPLOYEES,FR0004125920(WC07011),E,NA,NA,NA,NA,2866,2916,2952,3030,3068,4606,4417,4506,4702
ANDRITZ AG - NET SALES OR REVENUES,AT0000730007(WC01001),E,3609812,3197517,3553787,4595993,5176880,5710773,5859269,6377220,6038974,5889047,6031455,6673896,6699584
ANDRITZ AG - EMPLOYEES,AT0000730007(WC07011),E,13707,13049,14655,16750,17865,23713,24853,24508,25968,26427,30278,30716,28428
ANHEUSER BUSCH IN - NET SALES OR REVENUES,BE0974293251(WC01001),E,16102000,26352913,27497155,27936632,30803306,32478321,35642692,39534003,41239312,49549930,46355691,46816140,40863824
ANHEUSER BUSCH IN - EMPLOYEES,BE0974293251(WC07011),E,119874,116489,114313,116278,117632,154587,154029,152321,206633,200000,175000,175000,163695
ANIMA HOLDING - NET SALES OR REVENUES,IT0004998065(WC01001),E,NA,NA,NA,385259,403399,603432,687654,868946,753522,801839,1059746,1012410,990703
ANIMA HOLDING - EMPLOYEES,IT0004998065(WC07011),E,NA,NA,NA,287,234,223,211,227,246,249,315,310,315
ANORA GROUP OYJ - NET SALES OR REVENUES,FI4000292438(WC01001),E,NA,NA,NA,NA,483300,475800,426300,380700,356600,359000,357300,359600,342400
ANORA GROUP OYJ - EMPLOYEES,FI4000292438(WC07011),E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678,632,637
APERAM - NET SALES OR REVENUES,LU0569974404(WC01001),E,5687619,3036199,4245366,4539721,4076065,3849728,4151738,4275809,3864175,4434071,4677000,4240000,3624000
APERAM - EMPLOYEES,LU0569974404(WC07011),E,12164,9916,9904,10533,9800,9500,9400,9500,9600,9600,9680,9670,9500
APPLUS SERVICES SA - NET SALES OR REVENUES,ES0105022000(WC01001),E,NA,NA,NA,980919,1192647,1580501,1618717,1701473,1586496,1583094,1675942,1777944,1557614
APPLUS SERVICES SA - EMPLOYEES,ES0105022000(WC07011),E,NA,NA,NA,11049,17110,17456,18420,18156,18295,20337,22852,23051,23387
AQUAFIL - NET SALES OR REVENUES,IT0005241192(WC01001),E,NA,NA,NA,NA,499484,472161,505388,499127,481996,549331,555220,548955,436602
AQUAFIL - EMPLOYEES,IT0005241192(WC07011),E,NA,NA,NA,NA,NA,NA,NA,NA,2734,NA,2813,2935,2698
