"ISIN","year","cur_rat","stlt_lia","cogs"
"DE000KBX1006","2010",1.88,3053,2455221
"DE000KBX1006","2011",2.04,33188,2795565
"DE000KBX1006","2012",2.95,25707,2212796
"DE000KBX1006","2013",3.04,0,2167859
"DE000KBX1006","2014",3.33,0,2530507
"DE000KBX1006","2015",3.37,0,2765514
"DE000KBX1006","2016",3.77,0,2516731
"DE000KBX1006","2017",3.34,0,3030465
"DE000KBX1006","2018",1.76,628179,3235756
"DE000KBX1006","2019",1.68,875567,3349535
"DE000KBX1006","2020",1.32,1812656,2896310
"DE000KGX8881","2008",NA,NA,NA
"DE000KGX8881","2009",1.45,322998,2132291
"DE000KGX8881","2010",1.22,357022,2345758
"DE000KGX8881","2011",1.11,457757,2927389
"DE000KGX8881","2012",1.22,289809,3085779
"DE000KGX8881","2013",0.93,583800,2921500
"DE000KGX8881","2014",0.89,650400,2970200
"DE000KGX8881","2015",0.94,484600,3204400
"DE000KGX8881","2016",0.88,715100,3636900
"DE000KGX8881","2017",0.87,735900,5077700
"DE000KGX8881","2018",0.77,1224900,5006600
"DE000KGX8881","2019",0.78,1407600,5583600
