Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,"$$ER: 9903,NO DATA AVAILABLE",,,,,,,,,,,,
ES0116870314(ENERDP091),56578419.24,133800000,70980000,99200000,105000000,80000000,98000000,95000000,91000000,96000000,494000000,546000000,685000000
ES0116870314(ENPIDP023),NA,15390000,10820000,16270000,10600000,11140000,13440000,15620000,59200000,99000000,63300000,36000000,36750000
ES0130670112(ENRRO13V),N   ,N   ,Y   ,Y   ,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
ES0130670112(ENRRDP067),NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
ES0130670112(ENERDP091),1220000000,70000000,1265000000,1408000000,212000000,216000000,231000000,183000000,188000000,210000000,180000000,292000000,418000000
,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ES0130960018(ENRRO13V),N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
,"$$ER: 9903,NO DATA AVAILABLE",,,,,,,,,,,,
ES0130960018(ENERDP091),55393600,35940170,39955330,24143610,23256477,10210000,10756000,30908000,12937000,7710000,6334000,12415000,13717000
ES0130960018(ENPIDP023),967382,969236,278495,279612,350019.42,601324,NA,NA,NA,NA,NA,NA,NA
ES0132945017(ENRRO13V),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N   ,N   ,N   
,"$$ER: 9903,NO DATA AVAILABLE",,,,,,,,,,,,
,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ES0148396007(ENRRO13V),N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
,"$$ER: 9903,NO DATA AVAILABLE",,,,,,,,,,,,
,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ES0152503035(ENRRO13V),N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
,"$$ER: 9903,NO DATA AVAILABLE",,,,,,,,,,,,
ES0152503035(ENERDP091),NA,NA,NA,76215,0,0,122000,244124,553323,359000,225000,106000,29000
,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ES0161560018(ENRRO13V),N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
,"$$ER: 9903,NO DATA AVAILABLE",,,,,,,,,,,,
ES0161560018(ENERDP091),NA,NA,3001279,3992688.98,NA,NA,NA,NA,NA,NA,6900000,6300000,3000000
,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ES0164180012(ENRRO13V),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N   ,N   ,N   
,"$$ER: 9903,NO DATA AVAILABLE",,,,,,,,,,,,
ES0164180012(ENERDP091),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5200000,9200000,NA
,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ES0171996087(ENRRO13V),N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
