Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ASCOPIAVE SPA - TOTAL DEBT % TOTAL CAPITAL/STD,IT0004093263(WC08221),NA,16.77,21.64,24.54,41.79,36.33,28.39,36.83,25.29,18.28,23.06,29.36,23.78,29.81
ASM INTERNATIONAL NV - TOTAL DEBT % TOTAL CAPITAL/STD,NL0000334118(WC08221),NA,25.75,38.66,22.86,16.95,7.13,0,0,0,0,0,0,1.24,1.03
ASML HOLDING NV - TOTAL DEBT % TOTAL CAPITAL/STD,NL0010273215(WC08221),NA,24.55,27.2,20.38,17.61,15.74,13.44,12.12,10.64,23.14,20.19,19.66,19.34,24.13
ASPO PLC - TOTAL DEBT % TOTAL CAPITAL/STD,FI0009008072(WC08221),NA,59.16,53.13,54.54,53.65,60.84,55.71,54.45,55.5,52.27,54.89,63.1,64.48,63.96
ASR NEDERLAND NV - TOTAL DEBT % TOTAL CAPITAL/STD,NL0011872643(WC08221),NA,NA,NA,NA,53.62,46.96,28.86,58.7,40.65,46.94,37.89,40.9,54.09,60.19
ASSA ABLOY AB - TOTAL DEBT % TOTAL CAPITAL/STD,SE0007100581(WC08221),NA,44.91,39.44,34.56,38.77,35.16,38.72,35.65,32.63,30.61,31.24,34.29,33.87,33.35
ASSECO POLAND S.A. - TOTAL DEBT % TOTAL CAPITAL/STD,PLSOFTB00016(WC08221),NA,18.79,7.52,8.13,10.13,9.56,8.56,9.72,13.1,13.71,12.27,18.38,25.59,24.99
ASSICUR GENERALI SPA - TOTAL DEBT % TOTAL CAPITAL/STD,IT0000062072(WC08221),NA,55.48,51.34,51.29,55.48,52.94,45.51,40.99,38.37,37.11,36.8,37.1,32.2,29.69
ASSYSTEM SA - TOTAL DEBT % TOTAL CAPITAL/STD,FR0000074148(WC08221),NA,40,42.15,39.35,44.64,35.64,39.96,6.5,7.82,30.53,1.16,17.87,27.45,26.05
AT&S AUSTRIA TECHN - TOTAL DEBT % TOTAL CAPITAL/STD,AT0000969985(WC08221),NA,42.62,43.49,45.56,47.93,48.86,48.6,48.54,39.92,47.71,51.71,56.3,57.79,62.2
ATEA ASA - TOTAL DEBT % TOTAL CAPITAL/STD,NO0004822503(WC08221),NA,30.59,12.89,18.11,5.65,3.31,24.8,28.46,28.38,27.77,23.27,19.44,43.2,37.61
ATHENS WATER SUPPLY - TOTAL DEBT % TOTAL CAPITAL/STD,GRS359353000(WC08221),NA,14.25,16.79,17.32,16.76,15.27,0.27,0,0,0,0,0,0.33,0.29
