Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALMIRALL SA - OPTG INC BEFORE DEP & AMORT,ES0157097017(WC18155),E,75909,136114,96643,55107,-94016,-57550,27827,113838,101959,3035,145309,227021,225167
ALMIRALL SA - NET SALES OR REVENUES,ES0157097017(WC01001),E,902827,925486,882438,768418,682882,692891,786396,684985,764361,639381,756934,855339,807427
ALPHA SERVICES - OPTG INC BEFORE DEP & AMORT,GRS015003007(WC18155),E,700100,594912,316124,149065,-1188030,-897576,-888210,-1911242,275640,394241,-78812,300091,293377
ALPHA SERVICES - NET SALES OR REVENUES,GRS015003007(WC01001),E,4980176,4539831,4024363,4269430,3484062,4272953,3844740,3480493,3302924,3179709,2705629,2545738,2500839
ALSTOM SA - OPTG INC BEFORE DEP & AMORT,FR0010220475(WC18155),E,1654000,1964000,2172000,1945000,2032000,2009000,1977000,563000,836000,576000,663000,750000,871000
ALSTOM SA - NET SALES OR REVENUES,FR0010220475(WC01001),E,16908000,18739000,19650000,20923000,19934000,20269000,20269000,6163000,6881000,7306000,7951000,8072000,8201000
ALSTRIA OFFICE - OPTG INC BEFORE DEP & AMORT,DE000A0LD2U1(WC18155),E,37157,52126,56096,44037,56257,44619,57174,58763,131661,121411,116437,111223,103094
ALSTRIA OFFICE - NET SALES OR REVENUES,DE000A0LD2U1(WC01001),E,116485,104692,116346,108514,120276,105109,106348,127992,228127,213373,247240,241855,223770
ALTEN - OPTG INC BEFORE DEP & AMORT,FR0000071946(WC18155),E,96999,71375,99180,115849,130663,125882,144254,163448,187741,202172,234602,320008,205835
ALTEN - NET SALES OR REVENUES,FR0000071946(WC01001),E,846284,857077,916566,1065659,1198009,1216188,1373166,1540906,1748306,1975427,2269885,2623990,2331925
ALTRI SGPS S.A. - OPTG INC BEFORE DEP & AMORT,PTALT0AE0002(WC18155),E,50343,17540,165889,120317,149160,137844,111817,220315,164255,204732,297626,234571,127143
ALTRI SGPS S.A. - NET SALES OR REVENUES,PTALT0AE0002(WC01001),E,255479,275650,497290,479345,530107,572429,551079,664033,609272,665510,784326,750044,615451
AMADEUS FIRE AG - OPTG INC BEFORE DEP & AMORT,DE0005093108(WC18155),E,19081,17001,19472,22885,26546,24043,27507,29272,30685,33128,38646,46077,59235
AMADEUS FIRE AG - NET SALES OR REVENUES,DE0005093108(WC01001),E,114591,110746,117548,130071,137003,142057,161057,169726,173295,184525,205836,233124,280154
AMADEUS IT GROUP SA - OPTG INC BEFORE DEP & AMORT,ES0109067019(WC18155),E,871575,896044,654095,1021733,1104648,1263127,1313303,1475627,1711400,1879700,2028300,2248600,214900
AMADEUS IT GROUP SA - NET SALES OR REVENUES,ES0109067019(WC01001),E,2937854,2461383,2593588,2707359,2910326,3103703,3417687,3912702,4472900,4852700,4935700,5570100,2174000
AMBEA AB (PUBL) - OPTG INC BEFORE DEP & AMORT,SE0009663826(WC18155),SK,NA,NA,NA,NA,NA,NA,215000,274000,330000,469000,498000,1271000,1550000
AMBEA AB (PUBL) - NET SALES OR REVENUES,SE0009663826(WC01001),SK,NA,NA,NA,NA,NA,NA,4163000,4347000,5334000,5816000,6076000,11040000,11083000
AMBU A/S - OPTG INC BEFORE DEP & AMORT,DK0060946788(WC18155),DK,130875,166203,178894,200658,210336,232000,286000,332000,445000,541000,677000,585000,606000
AMBU A/S - NET SALES OR REVENUES,DK0060946788(WC01001),DK,784445,876931,939688,982812,1045457,1383000,1584000,1889000,2084000,2355000,2606000,2820000,3567000
AMG ADVANCED METAL - OPTG INC BEFORE DEP & AMORT,NL0000888691(WC18155),E,108940,37609,56534,68390,62477,52715,58844,61583,88081,103375,183130,181994,58867
