Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"ALLIGATOR BIOSCIE - PROPERTY, PLANT & EQUIP - NET",SE0000767188(WC02501),SK,NA,NA,NA,NA,NA,NA,2305,2323,4349,16198,18238,33475,23240
ALM. BRAND A/S - TOTAL ASSETS,DK0015250344(WC02999),DK,45365000,46843000,47299000,43793000,41730000,38393000,38270000,34436000,34459000,34428000,38812000,41628000,32558000
"ALM. BRAND A/S - PROPERTY, PLANT & EQUIP - NET",DK0015250344(WC02501),DK,1096000,1120000,1107000,1210000,1230000,1364000,1569000,1336000,1520000,1626000,1590000,1781000,883000
ALM EQUITY AB (PUBL) - TOTAL ASSETS,SE0000540163(WC02999),SK,265679,203520,562927,829345,936109,1318042,1971346,1984850,3465792,5357618,5331228,8498000,9458000
"ALM EQUITY AB (PUBL) - PROPERTY, PLANT & EQUIP - NET",SE0000540163(WC02501),SK,54,31,211,161,128,995,800,4549,3817,13525,6059,193000,184000
ALMIRALL SA - TOTAL ASSETS,ES0157097017(WC02999),E,1231149,1309336,1347752,1243472,1104746,1450572,2201741,2215467,2491053,1907770,2109102,2170470,2034638
"ALMIRALL SA - PROPERTY, PLANT & EQUIP - NET",ES0157097017(WC02501),E,175745,169060,154817,152131,157037,161306,132127,127795,132298,128317,115235,135691,132868
ALPHA SERVICES - TOTAL ASSETS,GRS015003007(WC02999),E,64936455,69302758,66370761,57681071,56557432,70908579,69246015,64898058,60353220,56482423,55715977,58283324,64764095
"ALPHA SERVICES - PROPERTY, PLANT & EQUIP - NET",GRS015003007(WC02501),E,1254240,1258451,1240658,1220949,1155190,1122470,1083348,860901,793968,735250,734663,852332,796331
ALSTOM SA - TOTAL ASSETS,FR0010220475(WC02999),E,20275000,23232000,24996000,28346000,29575000,29901000,28781000,32501000,13380000,14172000,13898000,13111000,12774000
"ALSTOM SA - PROPERTY, PLANT & EQUIP - NET",FR0010220475(WC02501),E,1501000,1735000,1958000,2651000,2852000,3024000,3032000,656000,655000,749000,831000,953000,1371000
ALSTRIA OFFICE - TOTAL ASSETS,DE000A0LD2U1(WC02999),E,1873493,1766134,1542336,1686637,1786893,1785679,1769304,3850580,3382633,3584069,4181252,5029328,5090249
"ALSTRIA OFFICE - PROPERTY, PLANT & EQUIP - NET",DE000A0LD2U1(WC02501),E,1809188,1431337,1356226,1533165,1628322,1637518,1650925,3265628,3005957,3354300,3957836,4457652,4574541
ALTEN - TOTAL ASSETS,FR0000071946(WC02999),E,647149,637523,664978,715394,766171,848228,976508,1149338,1315599,1405383,1649146,2039756,2140963
"ALTEN - PROPERTY, PLANT & EQUIP - NET",FR0000071946(WC02501),E,11428,10224,9350,12609,14061,18311,18145,36273,23107,24631,28267,205483,192406
ALTRI SGPS S.A. - TOTAL ASSETS,PTALT0AE0002(WC02999),E,1103868,1105460,1175764,1114024,1095003,1190212,1211715,1168181,1245558,1172312,1456006,1448949,1458218
"ALTRI SGPS S.A. - PROPERTY, PLANT & EQUIP - NET",PTALT0AE0002(WC02501),E,549020,605624,593704,563458,532140,497635,489444,465593,461941,491364,653983,729381,694592
AMADEUS FIRE AG - TOTAL ASSETS,DE0005093108(WC02999),E,47573,47261,53986,61830,58863,60912,67362,71040,71700,76946,82414,321935,347131
"AMADEUS FIRE AG - PROPERTY, PLANT & EQUIP - NET",DE0005093108(WC02501),E,1519,1268,1206,1115,1161,1250,1311,1584,1510,1677,2913,52997,67646
